Year;ICD10 Code;ICD10 Diagnosis;Diagnosis Type;Metric;Sex;Value
20.09.2010;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Number of admissions;Female;14602
20.09.2010;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Number of admissions;Female;2748
20.09.2010;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Number of admissions;Female;52094
20.09.2010;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Number of admissions;Female;58270
20.09.2010;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Female;113931
20.09.2010;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Female;94295
20.09.2010;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Number of admissions;Female;16657
20.09.2010;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Female;51327
20.09.2010;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Number of admissions;Female;2623
20.09.2010;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Number of admissions;Female;2747
20.09.2010;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Number of admissions;Female;11489
20.09.2010;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Number of admissions;Female;15072
20.09.2010;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Number of admissions;Female;2934
20.09.2010;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Number of admissions;Female;62559
20.09.2010;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Number of admissions;Female;47401
20.09.2010;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Number of admissions;Female;14141
20.09.2010;All codes;All admissions;All admissions;Attributable number;Female;170600
20.09.2010;C00-D48;All cancers;All cancers;Attributable number;Female;49800
20.09.2010;J00-J99;All respiratory diseases;All respiratory diseases;Attributable number;Female;55200
20.09.2010;I00-I99;All circulatory diseases;All circulatory diseases;Attributable number;Female;43800
20.09.2010;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Attributable number;Female;9100
20.09.2010;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Attributable number;Female;27200
20.09.2010;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Attributable number;Female;2800
20.09.2010;C15;Oesophagus;Cancers which can be caused by smoking;Attributable number;Female;5400
20.09.2010;C32;Larynx;Cancers which can be caused by smoking;Attributable number;Female;600
20.09.2010;C53;Cervical;Cancers which can be caused by smoking;Attributable number;Female;900
20.09.2010;C67;Bladder;Cancers which can be caused by smoking;Attributable number;Female;6100
20.09.2010;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Attributable number;Female;400
20.09.2010;C16;Stomach;Cancers which can be caused by smoking;Attributable number;Female;800
20.09.2010;C25;Pancreas;Cancers which can be caused by smoking;Attributable number;Female;2900
20.09.2010;C80;Unspecified Site;Cancers which can be caused by smoking;Attributable number;Female;1300
20.09.2010;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Attributable number;Female;1500
20.09.2010;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Attributable number;Female;2300
20.09.2010;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Attributable number;Female;40900
20.09.2010;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Attributable number;Female;12000
20.09.2010;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;Female;12500
20.09.2010;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;Female;18900
20.09.2010;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Attributable number;Female;3200
20.09.2010;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Attributable number;Female;7300
20.09.2010;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Attributable number;Female;1500
20.09.2010;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Attributable number;Female;400
20.09.2010;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Attributable number;Female;5500
20.09.2010;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Attributable number;Female;2500
20.09.2010;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Attributable number;Female;1200
20.09.2010;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Attributable number;Female;6700
20.09.2010;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Attributable number;Female;5300
20.09.2010;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Attributable number;Female;700
20.08.2009;All codes;All admissions;All admissions;Number of admissions;;9440259
20.08.2009;C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03;All diseases which can be caused by smoking;All diseases which can be caused by smoking;Number of admissions;;1492240
20.08.2009;C00-D48;All cancers;All cancers;Number of admissions;;2757012
20.08.2009;J00-J99;All respiratory diseases;All respiratory diseases;Number of admissions;;929074
20.08.2009;I00-I99;All circulatory diseases;All circulatory diseases;Number of admissions;;1742166
20.08.2009;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Number of admissions;;2352558
20.08.2009;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Number of admissions;;81990
20.08.2009;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Number of admissions;;17415
20.08.2009;C15;Oesophagus;Cancers which can be caused by smoking;Number of admissions;;32811
20.08.2009;C32;Larynx;Cancers which can be caused by smoking;Number of admissions;;4666
20.08.2009;C53;Cervical;Cancers which can be caused by smoking;Number of admissions;;7118
20.08.2009;C67;Bladder;Cancers which can be caused by smoking;Number of admissions;;85173
20.08.2009;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Number of admissions;;12943
20.08.2009;C16;Stomach;Cancers which can be caused by smoking;Number of admissions;;21844
20.08.2009;C25;Pancreas;Cancers which can be caused by smoking;Number of admissions;;22308
20.08.2009;C80;Unspecified Site;Cancers which can be caused by smoking;Number of admissions;;11588
20.08.2009;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Number of admissions;;34374
20.08.2009;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Number of admissions;;6279
20.08.2009;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Number of admissions;;111243
20.08.2009;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Number of admissions;;114556
20.08.2009;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;;242744
20.08.2009;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;;296646
20.08.2009;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Number of admissions;;41016
20.08.2009;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Number of admissions;;95185
20.08.2009;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Number of admissions;;12079
20.08.2009;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Number of admissions;;7966
20.08.2009;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Number of admissions;;23495
20.08.2009;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Number of admissions;;23217
20.08.2009;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Number of admissions;;4291
20.08.2009;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Number of admissions;;106638
20.08.2009;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Number of admissions;;62051
20.08.2009;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Number of admissions;;12604
20.08.2009;All codes;All admissions;All admissions;Attributable number;;462900
20.08.2009;C00-D48;All cancers;All cancers;Attributable number;;166100
20.08.2009;J00-J99;All respiratory diseases;All respiratory diseases;Attributable number;;119400
20.08.2009;I00-I99;All circulatory diseases;All circulatory diseases;Attributable number;;140800
20.08.2009;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Attributable number;;17600
20.08.2009;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Attributable number;;67400
20.08.2009;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Attributable number;;11700
20.08.2009;C15;Oesophagus;Cancers which can be caused by smoking;Attributable number;;22400
20.08.2009;C32;Larynx;Cancers which can be caused by smoking;Attributable number;;3800
20.08.2009;C53;Cervical;Cancers which can be caused by smoking;Attributable number;;900
20.08.2009;C67;Bladder;Cancers which can be caused by smoking;Attributable number;;35900
20.08.2009;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Attributable number;;3400
20.08.2009;C16;Stomach;Cancers which can be caused by smoking;Attributable number;;4900
20.08.2009;C25;Pancreas;Cancers which can be caused by smoking;Attributable number;;5600
20.08.2009;C80;Unspecified Site;Cancers which can be caused by smoking;Attributable number;;4200
20.08.2009;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Attributable number;;6100
20.08.2009;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Attributable number;;5400
20.08.2009;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Attributable number;;88000
20.08.2009;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Attributable number;;26000
20.08.2009;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;;36800
20.08.2009;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;;71900
20.08.2009;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Attributable number;;7400
20.08.2009;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Attributable number;;15300
20.08.2009;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Attributable number;;7500
20.08.2009;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Attributable number;;1800
20.08.2009;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Attributable number;;11800
20.08.2009;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Attributable number;;3900
20.08.2009;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Attributable number;;1800
20.08.2009;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Attributable number;;11800
20.08.2009;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Attributable number;;6600
20.08.2009;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Attributable number;;600
20.08.2009;All codes;All admissions;All admissions;Number of admissions;Male;4388181
20.08.2009;C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03;All diseases which can be caused by smoking;All diseases which can be caused by smoking;Number of admissions;Male;824868
20.08.2009;C00-D48;All cancers;All cancers;Number of admissions;Male;1343656
20.08.2009;J00-J99;All respiratory diseases;All respiratory diseases;Number of admissions;Male;466220
20.08.2009;I00-I99;All circulatory diseases;All circulatory diseases;Number of admissions;Male;997450
20.08.2009;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Number of admissions;Male;1158562
20.08.2009;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Number of admissions;Male;46945
20.08.2009;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Number of admissions;Male;12464
20.08.2009;C15;Oesophagus;Cancers which can be caused by smoking;Number of admissions;Male;23775
20.08.2009;C32;Larynx;Cancers which can be caused by smoking;Number of admissions;Male;3910
20.08.2009;C53;Cervical;Cancers which can be caused by smoking;Number of admissions;Male;.
20.08.2009;C67;Bladder;Cancers which can be caused by smoking;Number of admissions;Male;65495
20.08.2009;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Number of admissions;Male;8424
20.08.2009;C16;Stomach;Cancers which can be caused by smoking;Number of admissions;Male;15643
20.08.2009;C25;Pancreas;Cancers which can be caused by smoking;Number of admissions;Male;11237
20.08.2009;C80;Unspecified Site;Cancers which can be caused by smoking;Number of admissions;Male;4996
20.08.2009;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Number of admissions;Male;19862
20.08.2009;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Number of admissions;Male;3383
20.08.2009;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Number of admissions;Male;55529
20.08.2009;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Number of admissions;Male;58747
20.08.2009;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Male;131438
20.08.2009;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Male;196424
20.08.2009;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Number of admissions;Male;24213
20.08.2009;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Male;46598
20.08.2009;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Number of admissions;Male;9266
20.08.2009;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Number of admissions;Male;5024
20.08.2009;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Number of admissions;Male;11875
20.08.2009;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Number of admissions;Male;9696
20.08.2009;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Number of admissions;Male;1709
20.08.2009;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Number of admissions;Male;42615
20.08.2009;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Number of admissions;Male;15599
20.08.2009;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Number of admissions;Male;.
20.08.2009;All codes;All admissions;All admissions;Attributable number;Male;292300
20.08.2009;C00-D48;All cancers;All cancers;Attributable number;Male;117300
20.08.2009;J00-J99;All respiratory diseases;All respiratory diseases;Attributable number;Male;62400
20.08.2009;I00-I99;All circulatory diseases;All circulatory diseases;Attributable number;Male;97100
20.08.2009;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Attributable number;Male;8800
20.08.2009;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Attributable number;Male;41200
20.08.2009;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Attributable number;Male;9200
20.08.2009;C15;Oesophagus;Cancers which can be caused by smoking;Attributable number;Male;16800
20.08.2009;C32;Larynx;Cancers which can be caused by smoking;Attributable number;Male;3200
20.08.2009;C53;Cervical;Cancers which can be caused by smoking;Attributable number;Male;.
20.08.2009;C67;Bladder;Cancers which can be caused by smoking;Attributable number;Male;29900
20.08.2009;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Attributable number;Male;3000
20.08.2009;C16;Stomach;Cancers which can be caused by smoking;Attributable number;Male;4100
20.08.2009;C25;Pancreas;Cancers which can be caused by smoking;Attributable number;Male;2600
20.08.2009;C80;Unspecified Site;Cancers which can be caused by smoking;Attributable number;Male;2700
20.08.2009;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Attributable number;Male;4600
20.08.2009;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Attributable number;Male;3000
20.08.2009;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Attributable number;Male;44400
20.08.2009;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Attributable number;Male;15000
20.08.2009;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;Male;24700
20.08.2009;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;Male;52200
20.08.2009;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Attributable number;Male;4200
20.08.2009;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Attributable number;Male;8600
20.08.2009;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Attributable number;Male;5900
20.08.2009;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Attributable number;Male;1400
20.08.2009;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Attributable number;Male;6300
20.08.2009;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Attributable number;Male;1700
20.08.2009;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Attributable number;Male;800
20.08.2009;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Attributable number;Male;5200
20.08.2009;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Attributable number;Male;1500
20.08.2009;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Attributable number;Male;.
20.08.2009;All codes;All admissions;All admissions;Number of admissions;Female;5052078
20.08.2009;C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03;All diseases which can be caused by smoking;All diseases which can be caused by smoking;Number of admissions;Female;667372
20.08.2009;C00-D48;All cancers;All cancers;Number of admissions;Female;1413356
20.08.2009;J00-J99;All respiratory diseases;All respiratory diseases;Number of admissions;Female;462854
20.08.2009;I00-I99;All circulatory diseases;All circulatory diseases;Number of admissions;Female;744716
20.08.2009;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Number of admissions;Female;1193996
20.08.2009;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Number of admissions;Female;35045
20.08.2009;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Number of admissions;Female;4951
20.08.2009;C15;Oesophagus;Cancers which can be caused by smoking;Number of admissions;Female;9036
20.08.2009;C32;Larynx;Cancers which can be caused by smoking;Number of admissions;Female;756
20.08.2009;C53;Cervical;Cancers which can be caused by smoking;Number of admissions;Female;7117
20.08.2009;C67;Bladder;Cancers which can be caused by smoking;Number of admissions;Female;19678
20.08.2009;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Number of admissions;Female;4519
20.08.2009;C16;Stomach;Cancers which can be caused by smoking;Number of admissions;Female;6201
20.08.2009;C25;Pancreas;Cancers which can be caused by smoking;Number of admissions;Female;11071
20.08.2009;C80;Unspecified Site;Cancers which can be caused by smoking;Number of admissions;Female;6592
20.08.2009;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Number of admissions;Female;14512
20.08.2009;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Number of admissions;Female;2896
20.08.2009;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Number of admissions;Female;55714
20.08.2009;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Number of admissions;Female;55809
20.08.2009;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Female;111306
20.08.2009;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Female;100222
20.08.2009;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Number of admissions;Female;16803
20.08.2009;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Number of admissions;Female;48587
20.08.2009;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Number of admissions;Female;2813
20.08.2009;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Number of admissions;Female;2942
20.08.2009;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Number of admissions;Female;11620
20.08.2009;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Number of admissions;Female;13521
20.08.2009;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Number of admissions;Female;2582
20.08.2009;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Number of admissions;Female;64023
20.08.2009;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Number of admissions;Female;46452
20.08.2009;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Number of admissions;Female;12604
20.08.2009;All codes;All admissions;All admissions;Attributable number;Female;170600
20.08.2009;C00-D48;All cancers;All cancers;Attributable number;Female;48800
20.08.2009;J00-J99;All respiratory diseases;All respiratory diseases;Attributable number;Female;57000
20.08.2009;I00-I99;All circulatory diseases;All circulatory diseases;Attributable number;Female;43700
20.08.2009;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Attributable number;Female;8800
20.08.2009;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Attributable number;Female;26200
20.08.2009;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Attributable number;Female;2500
20.08.2009;C15;Oesophagus;Cancers which can be caused by smoking;Attributable number;Female;5600
20.08.2009;C32;Larynx;Cancers which can be caused by smoking;Attributable number;Female;600
20.08.2009;C53;Cervical;Cancers which can be caused by smoking;Attributable number;Female;900
20.08.2009;C67;Bladder;Cancers which can be caused by smoking;Attributable number;Female;6000
20.08.2009;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Attributable number;Female;400
20.08.2009;C16;Stomach;Cancers which can be caused by smoking;Attributable number;Female;800
20.08.2009;C25;Pancreas;Cancers which can be caused by smoking;Attributable number;Female;2900
20.08.2009;C80;Unspecified Site;Cancers which can be caused by smoking;Attributable number;Female;1500
20.08.2009;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Attributable number;Female;1400
20.08.2009;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Attributable number;Female;2400
20.08.2009;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Attributable number;Female;43600
20.08.2009;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Attributable number;Female;11000
20.08.2009;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;Female;12100
20.08.2009;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Attributable number;Female;19700
20.08.2009;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Attributable number;Female;3200
20.08.2009;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Attributable number;Female;6700
20.08.2009;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Attributable number;Female;1600
20.08.2009;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Attributable number;Female;400
20.08.2009;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Attributable number;Female;5500
20.08.2009;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Attributable number;Female;2200
20.08.2009;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Attributable number;Female;1100
20.08.2009;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Attributable number;Female;6600
20.08.2009;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Attributable number;Female;5100
20.08.2009;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Attributable number;Female;600
20.07.2008;All codes;All admissions;All admissions;Number of admissions;;8869965
20.07.2008;C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03;All diseases which can be caused by smoking;All diseases which can be caused by smoking;Number of admissions;;1438801
20.07.2008;C00-D48;All cancers;All cancers;Number of admissions;;1322266
20.07.2008;J00-J99;All respiratory diseases;All respiratory diseases;Number of admissions;;419744
20.07.2008;I00-I99;All circulatory diseases;All circulatory diseases;Number of admissions;;851332
20.07.2008;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Number of admissions;;1093242
20.07.2008;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Number of admissions;;81887
20.07.2008;C00-C14;Upper Respiratory Sites;Cancers which can be caused by smoking;Number of admissions;;15722
20.07.2008;C15;Oesophagus;Cancers which can be caused by smoking;Number of admissions;;32864
20.07.2008;C32;Larynx;Cancers which can be caused by smoking;Number of admissions;;4528
20.07.2008;C53;Cervical;Cancers which can be caused by smoking;Number of admissions;;6588
20.07.2008;C67;Bladder;Cancers which can be caused by smoking;Number of admissions;;80829
20.07.2008;C64-C66 & C68;Kidney and Renal Pelvis;Cancers which can be caused by smoking;Number of admissions;;11823
20.07.2008;C16;Stomach;Cancers which can be caused by smoking;Number of admissions;;23339
20.07.2008;C25;Pancreas;Cancers which can be caused by smoking;Number of admissions;;21662
20.07.2008;C80;Unspecified Site;Cancers which can be caused by smoking;Number of admissions;;10847
20.07.2008;C92;Myeloid Leukaemia;Cancers which can be caused by smoking;Number of admissions;;32539
20.07.2008;J40-J43;Chronic Obstructive Lung Disease;Respiratory diseases which can be caused by smoking;Number of admissions;;5674
20.07.2008;J44;Chronic Airway Obstruction;Respiratory diseases which can be caused by smoking;Number of admissions;;100267
20.07.2008;J10-J18;Pneumonia, Influenza;Respiratory diseases which can be caused by smoking;Number of admissions;;97752
20.07.2008;I00-I09 & I26-I51;Other Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;;235222
20.07.2008;I20-I25;Ischaemic Heart Disease;Circulatory diseases which can be caused by smoking;Number of admissions;;301073
20.07.2008;I72-I78;Other arterial disease;Circulatory diseases which can be caused by smoking;Number of admissions;;38079
20.07.2008;I60-I69;Cerebrovascular Disease;Circulatory diseases which can be caused by smoking;Number of admissions;;92322
20.07.2008;I71;Aortic Aneurysm;Circulatory diseases which can be caused by smoking;Number of admissions;;11668
20.07.2008;I70;Atherosclerosis;Circulatory diseases which can be caused by smoking;Number of admissions;;8578
20.07.2008;K25-K27;Stomach / Duodenal Ulcer;Digestive diseases which can be caused caused by smoking;Number of admissions;;23201
20.07.2008;K50;Crohns Disease;Digestive diseases which can be caused caused by smoking;Number of admissions;;19970
20.07.2008;K05;Periodontal Disease / Periodonitis;Digestive diseases which can be caused caused by smoking;Number of admissions;;3561
20.07.2008;H25;Age Related Cataract 45+;Other diseases which can be caused by smoking;Number of admissions;;104753
20.07.2008;S72.0-S72.2;Hip Fracture 55+;Other diseases which can be caused by smoking;Number of admissions;;61897
20.07.2008;O03;Spontaneous Abortion;Other diseases which can be caused by smoking;Number of admissions;;12156
20.07.2008;All codes;All admissions;All admissions;Attributable number;;440400
20.07.2008;C00-D48;All cancers;All cancers;Attributable number;;161200
20.07.2008;J00-J99;All respiratory diseases;All respiratory diseases;Attributable number;;105800
20.07.2008;I00-I99;All circulatory diseases;All circulatory diseases;Attributable number;;138600
20.07.2008;K00-K93;All diseases of the digestive system;All diseases of the digestive system;Attributable number;;16500
20.07.2008;C33-C34;Trachea, Lung, Bronchus;Cancers which can be caused by smoking;Attributable number;;67300
